Matérias que pretende fazer no próximo semestre.,Descreva aqui sua restrição de horário (caso tenha)
Cálculo Diferencial e Integral II;Programação de Computadores I;Cálculo Numérico;Engenharia de Software I;Programação de Computadores III;Teoria da Computação;Optativa III;Práticas de Ensino 4,
Engenharia de Software I,
Sistemas Operacionais;Teoria da Computação;Interação Humano-Computador,"Trabalho de segunda a sexta. "
Engenharia de Software I,
Cálculo Diferencial e Integral II;Programação de Computadores I;Cálculo Numérico;Engenharia de Software I;Psicologia na Educação,
Arquitetura de Computadores I;Programação de Computadores I;Matemática Discreta;Sistemas Operacionais;Engenharia de Software I;Programação de Computadores III;Teoria da Computação,
Teoria da Computação,
Teoria dos Grafos;Linguagens Formais e Autômatos;Computação Gráfica;Interação Humano-Computador;Segurança em Computação,Tenho estágio a tarde
Psicologia na Educação;Teoria dos Grafos;Linguagens Formais e Autômatos;Computação Gráfica;Paradigmas de Programação,"De tarde eu trabalho, então a preferência é pra aulas de manhã."
Circuitos Digitais;Sistemas Operacionais;Teoria da Computação;Teoria dos Grafos;Paradigmas de Programação;Interação Humano-Computador,
Teoria dos Grafos;Linguagens Formais e Autômatos;Paradigmas de Programação;Interação Humano-Computador,"De tarde tenho estágio "
Algoritmos e Programação de Computadores,
Circuitos Digitais;Sistemas Operacionais;Engenharia de Software I;Programação de Computadores III;Psicologia na Educação;Teoria da Computação;Optativa III;Optativa IV,
Matemática Discreta;Sistemas Operacionais;Teoria da Computação;Teoria dos Grafos;Linguagens Formais e Autômatos;Computação Gráfica;Optativa III;Optativa IV,
Linguagens Formais e Autômatos;Segurança em Computação;Optativa III,
Algoritmos e Programação de Computadores;Inglês Técnico;Cálculo Numérico,
Circuitos Digitais;Sistemas Operacionais;Teoria da Computação;Teoria dos Grafos;Linguagens Formais e Autômatos;Paradigmas de Programação;Interação Humano-Computador;Redes de computadores 2,fazer os 4 horarios de manha ou fazer os 4 horarios a tarde
Segurança em Computação;Empreendedorismo;Optativa III;Optativa IV,"Somente pela manhã. "
Segurança em Computação;Empreendedorismo;Optativa III;Optativa IV,
Arquitetura de Computadores I;Inglês Técnico;Cálculo Diferencial e Integral II;Programação de Computadores I;Matemática Discreta;Cálculo Numérico;Circuitos Digitais;Sistemas Operacionais;Engenharia de Software I;Computação Gráfica;Paradigmas de Programação;Segurança em Computação;Empreendedorismo,"Só tenho horário pela manhã pois faço estágio 
"
Inglês Técnico;Programação de Computadores I;Matemática Discreta;Cálculo Numérico,Disponibilidade integral
Circuitos Digitais;Sistemas Operacionais;Engenharia de Software I;Programação de Computadores III;Psicologia na Educação;Teoria da Computação,
Arquitetura de Computadores I;Cálculo Diferencial e Integral II;Matemática Discreta;Fundamentos da Educação;Cálculo Numérico,Não tenho
Arquitetura de Computadores I;Inglês Técnico;Fundamentos da Educação;Engenharia de Software I;Psicologia na Educação;Teoria da Computação,
Arquitetura de Computadores I;Programação de Computadores I,
Sistemas Operacionais;Engenharia de Software I;Teoria dos Grafos;Computação Gráfica;Interação Humano-Computador,
Sistemas Operacionais;Linguagens Formais e Autômatos;Interação Humano-Computador;Segurança em Computação;Empreendedorismo;Optativa III;Optativa IV,
Teoria da Computação;Teoria dos Grafos;Computação Gráfica,
Algoritmos e Programação de Computadores;Inglês Técnico;Teoria da Computação;Empreendedorismo,"So nao posso na segunda de manhã, fico livre depois das 14, fora isso alguns dias teriam que ser flexíveis por conta do meu trabalho "
Sistemas Operacionais;Engenharia de Software I;Programação de Computadores III;Teoria da Computação;Teoria dos Grafos;Linguagens Formais e Autômatos;Segurança em Computação,